0,1
dataset/waves/prwq2n.wav,place red with q two now
dataset/waves/sban2n.wav,set blue at n two now
dataset/waves/bgit6p.wav,bin green in t six please
dataset/waves/bwwn8p.wav,bin white with n eight please
dataset/waves/lgil7a.wav,lay green in l seven again
dataset/waves/lbbq9s.wav,lay blue by q nine soon
dataset/waves/bgaa6n.wav,bin green at a six now
dataset/waves/lrbe8p.wav,lay red by e eight please
dataset/waves/pbwc9s.wav,place blue with c nine soon
dataset/waves/srbu9a.wav,set red by u nine again
dataset/waves/pgwy8n.wav,place green with y eight now
dataset/waves/bris4p.wav,bin red in s four please
dataset/waves/lriq6n.wav,lay red in q six now
dataset/waves/bwba5s.wav,bin white by a five soon
dataset/waves/bgwb4n.wav,bin green with b four now
dataset/waves/srau4p.wav,set red at u four please
dataset/waves/sran9s.wav,set red at n nine soon
dataset/waves/sgwd1s.wav,set green with d one soon
dataset/waves/lrbl2p.wav,lay red by l two please
dataset/waves/pwaq3a.wav,place white at q three again
dataset/waves/srah5s.wav,set red at h five soon
dataset/waves/lwar9a.wav,lay white at r nine again
dataset/waves/brwg6n.wav,bin red with g six now
dataset/waves/sbba9s.wav,set blue by a nine soon
dataset/waves/lrar2p.wav,lay red at r two please
dataset/waves/bras9a.wav,bin red at s nine again
dataset/waves/swbp1a.wav,set white by p one again
dataset/waves/bbwm6p.wav,bin blue with m six please
dataset/waves/swbpzp.wav,set white by p zero please
dataset/waves/bgwi1a.wav,bin green with i one again
dataset/waves/praj2p.wav,place red at j two please
dataset/waves/sgwd3a.wav,set green with d three again
dataset/waves/swwv6n.wav,set white with v six now
dataset/waves/bgat8n.wav,bin green at t eight now
dataset/waves/sgwj5s.wav,set green with j five soon
dataset/waves/pwwk5s.wav,place white with k five soon
dataset/waves/bram4p.wav,bin red at m four please
dataset/waves/bwbn3s.wav,bin white by n three soon
dataset/waves/bbal9a.wav,bin blue at l nine again
dataset/waves/bbil3s.wav,bin blue in l three soon
dataset/waves/lgif3a.wav,lay green in f three again
dataset/waves/pgbk7s.wav,place green by k seven soon
dataset/waves/pbaczn.wav,place blue at c zero now
dataset/waves/sbwo3a.wav,set blue with o three again
dataset/waves/lbij7s.wav,lay blue in j seven soon
dataset/waves/swbo9s.wav,set white by o nine soon
dataset/waves/sgwq1a.wav,set green with q one again
dataset/waves/srbu6n.wav,set red by u six now
dataset/waves/lgwg4p.wav,lay green with g four please
dataset/waves/priv4n.wav,place red in v four now
dataset/waves/lgbm2n.wav,lay green by m two now
dataset/waves/lwwf8p.wav,lay white with f eight please
dataset/waves/sria7s.wav,set red in a seven soon
dataset/waves/bgah2p.wav,bin green at h two please
dataset/waves/swao6p.wav,set white at o six please
dataset/waves/bgig6n.wav,bin green in g six now
dataset/waves/swao7a.wav,set white at o seven again
dataset/waves/swab8p.wav,set white at b eight please
dataset/waves/lbax9s.wav,lay blue at x nine soon
dataset/waves/bbal7s.wav,bin blue at l seven soon
dataset/waves/sbbh3s.wav,set blue by h three soon
dataset/waves/pgiq4p.wav,place green in q four please
dataset/waves/bwwa8n.wav,bin white with a eight now
dataset/waves/lrik3s.wav,lay red in k three soon
dataset/waves/pric4p.wav,place red in c four please
dataset/waves/lrwl4n.wav,lay red with l four now
dataset/waves/swwc6p.wav,set white with c six please
dataset/waves/lwal2n.wav,lay white at l two now
dataset/waves/lrwszp.wav,lay red with s zero please
dataset/waves/pwid1a.wav,place white in d one again
dataset/waves/bril8n.wav,bin red in l eight now
dataset/waves/srwv1s.wav,set red with v one soon
dataset/waves/lwbz5s.wav,lay white sp by z five soon
dataset/waves/prav9s.wav,place red at v nine soon
dataset/waves/bwbg9s.wav,bin white by g nine soon
dataset/waves/lgas3s.wav,lay green at s three soon
dataset/waves/bwbn4p.wav,bin white sp by n four please
dataset/waves/lrar1s.wav,lay red at r one soon
dataset/waves/brbg2n.wav,bin red sp by g two now
dataset/waves/sgwqzp.wav,set green with q zero please
dataset/waves/lwbs2p.wav,lay white by s two please
dataset/waves/swwp4p.wav,set white with p four please
dataset/waves/sbat6n.wav,set blue at t six now
dataset/waves/pgbe3s.wav,place green by e three soon
dataset/waves/pbiu8n.wav,place blue in u eight now
dataset/waves/prbq1a.wav,place red by q one again
dataset/waves/pbib9a.wav,place blue in b nine again
dataset/waves/bgig7s.wav,bin green in g seven soon
dataset/waves/pbai6p.wav,place sp blue at i six please
dataset/waves/swwp5a.wav,set white with p five again
dataset/waves/priv5s.wav,place red in v five soon
dataset/waves/lrwf3a.wav,lay red with f three again
dataset/waves/lwbz6p.wav,lay white by z six please
dataset/waves/sgic1a.wav,set green in c one again
dataset/waves/sbbh4p.wav,set blue by h four please
dataset/waves/bwig3a.wav,bin white in g three again
dataset/waves/pwad3s.wav,place white at d three soon
dataset/waves/pbbp4p.wav,place blue by p four please
dataset/waves/brbtzn.wav,bin red by t zero now
dataset/waves/prii6n.wav,place red in i six now
dataset/waves/lgwg5a.wav,lay green with g five again
dataset/waves/bbiz3a.wav,bin blue in z three again
dataset/waves/sbaa7a.wav,set blue at a seven again
dataset/waves/bbbmzn.wav,bin blue by m zero now
dataset/waves/lrae5a.wav,lay red at e five again
dataset/waves/pgbr2p.wav,place green by r two please
dataset/waves/pgaq6n.wav,place green at q six now
dataset/waves/pgby4n.wav,place green by y four now
dataset/waves/lriq8p.wav,lay red in q eight please
dataset/waves/lwie4n.wav,lay white sp in e four now
dataset/waves/lwaf1a.wav,lay white at f one again
dataset/waves/pwwe1s.wav,place white with e one soon
dataset/waves/pwic8n.wav,place white in c eight now
dataset/waves/bwbg8n.wav,bin white by g eight now
dataset/waves/prav8n.wav,place red at v eight now
dataset/waves/swwc5s.wav,set white with c five soon
dataset/waves/lgbg1a.wav,lay green by g one again
dataset/waves/bgia3s.wav,bin green in a three soon
dataset/waves/pric2n.wav,place red in c two now
dataset/waves/pwwe3a.wav,place white with e three again
dataset/waves/brbg4p.wav,bin red by g four please
dataset/waves/sgwj4n.wav,set green with j four now
dataset/waves/srwo9a.wav,set red with o nine again
dataset/waves/pgbk9a.wav,place green by k nine again
dataset/waves/lrak8p.wav,lay red at k eight please
dataset/waves/bbwgzn.wav,bin blue with g zero now
dataset/waves/prwq4p.wav,place red with q four please
dataset/waves/sgbp7a.wav,set green by p seven again
dataset/waves/swib2n.wav,set white in b two now
dataset/waves/brwnzn.wav,bin red with n zero now
dataset/waves/pbbp5a.wav,place blue by p five again
dataset/waves/srwi3s.wav,set red with i three soon
dataset/waves/bgwb6p.wav,bin green with b six please
dataset/waves/pwij4p.wav,place white in j four please
dataset/waves/lgiz4p.wav,lay green in z four please
dataset/waves/pbwp9a.wav,place blue with p nine again
dataset/waves/lgas2n.wav,lay green at s two now
dataset/waves/sgac5a.wav,set green at c five again
dataset/waves/lbbk4n.wav,lay blue by k four now
dataset/waves/pbbc5s.wav,place blue by c five soon
dataset/waves/lbby3s.wav,lay blue by y three soon
dataset/waves/swbi7a.wav,set white by i seven again
dataset/waves/lgamzp.wav,lay green at m zero please
dataset/waves/sgapzn.wav,set green at p zero now
dataset/waves/bbir9a.wav,bin blue in r nine again
dataset/waves/pwwr1a.wav,place white with r one again
dataset/waves/lwilzp.wav,lay white in l zero please
dataset/waves/bgbozp.wav,bin green by o zero please
dataset/waves/bbwg3a.wav,bin blue with g three again
dataset/waves/lbaq5s.wav,lay blue sp at q five soon
dataset/waves/sgwj6p.wav,set green with j six please
dataset/waves/bgbbzn.wav,bin green by b zero now
dataset/waves/brbm7s.wav,bin red by m seven soon
dataset/waves/srwi4p.wav,set red with i four please
dataset/waves/pwbk2p.wav,place white by k two please
dataset/waves/srwb8n.wav,set red with b eight now
dataset/waves/pbwx3a.wav,place blue with x three again
dataset/waves/prap4n.wav,place red at p four now
dataset/waves/lwik8n.wav,lay white in k eight now
dataset/waves/lbij8p.wav,lay blue in j eight please
dataset/waves/bbws8n.wav,bin blue with s eight now
dataset/waves/pgwl3a.wav,place green with l three again
dataset/waves/lgam1a.wav,lay green at m one again
dataset/waves/bwis8n.wav,bin white in s eight now
dataset/waves/pbai5s.wav,place blue at i five soon
dataset/waves/sbim8n.wav,set blue in m eight now
dataset/waves/bgwb5s.wav,bin green with b five soon
dataset/waves/pbap1a.wav,place blue at p one again
dataset/waves/lwbz7a.wav,lay white by z seven again
dataset/waves/bwim5s.wav,bin white in m five soon
dataset/waves/sbig6p.wav,set blue in g six please
dataset/waves/sgbp6p.wav,set green by p six please
dataset/waves/lbbe1s.wav,lay blue by e one soon
dataset/waves/bgwu7s.wav,bin green with u seven soon
dataset/waves/pgix8p.wav,place green in x eight please
dataset/waves/prwq3s.wav,place red with q three soon
dataset/waves/pbapzp.wav,place blue at p zero please
dataset/waves/pwwy2n.wav,place white with y two now
dataset/waves/brwg9a.wav,bin red with g nine again
dataset/waves/lwws7a.wav,lay white with s seven again
dataset/waves/brag1a.wav,bin red at g one again
dataset/waves/prwx9a.wav,place red with x nine again
dataset/waves/srab1s.wav,set red at b one soon
dataset/waves/lwbl7s.wav,lay white by l seven soon
dataset/waves/bbil5a.wav,bin blue in l five again
dataset/waves/bbie9s.wav,bin blue in e nine soon
dataset/waves/bwwbzp.wav,bin white with b zero please
dataset/waves/lrae3s.wav,lay red at e three soon
dataset/waves/bbbs6p.wav,bin blue by s six please
dataset/waves/pwax5s.wav,place white at x five soon
dataset/waves/lwwmzn.wav,lay white with m zero now
dataset/waves/prii9a.wav,place red in i nine again
dataset/waves/bgwu8p.wav,bin green with u eight please
dataset/waves/pbbv7s.wav,place blue by v seven soon
dataset/waves/lrwz4p.wav,lay red with z four please
dataset/waves/bgin1s.wav,bin green in n one soon
dataset/waves/swih8p.wav,set white in h eight please
dataset/waves/bwig1s.wav,bin white in g one soon
dataset/waves/swwv8p.wav,set white with v eight please
dataset/waves/sbia3a.wav,set blue in a three again
dataset/waves/sbat9a.wav,set blue at t nine again
dataset/waves/pbwxzn.wav,place sp blue with x zero now
dataset/waves/brwa2n.wav,bin red with a two now
dataset/waves/sbbn6n.wav,set blue by n six now
dataset/waves/bgia2n.wav,bin green in a two now
dataset/waves/lwik9s.wav,lay white in k nine soon
dataset/waves/swiozn.wav,set white in o zero now
dataset/waves/lbwe6p.wav,lay blue sp with e six please
dataset/waves/pgay1s.wav,place green at y one soon
dataset/waves/prwx8p.wav,place red with x eight please
dataset/waves/pwij2n.wav,place white in j two now
dataset/waves/sbat8p.wav,set blue at t eight please
dataset/waves/sgbjzn.wav,set green by j zero now
dataset/waves/lgbm3s.wav,lay green by m three soon
dataset/waves/lbij6n.wav,lay blue in j six now
dataset/waves/bgit7a.wav,bin green in t seven again
dataset/waves/srbh8n.wav,set red by h eight now
dataset/waves/pgwzzp.wav,place green with z zero please
dataset/waves/prbx4p.wav,place red by x four please
dataset/waves/pgid7a.wav,place green in d seven again
dataset/waves/pbac1s.wav,place blue at c one soon
dataset/waves/swwp3s.wav,set white with p three soon
dataset/waves/sraozp.wav,set red at o zero please
dataset/waves/pwby1a.wav,place white by y one again
dataset/waves/lgwg3s.wav,lay green with g three soon
dataset/waves/swio2p.wav,set white in o two please
dataset/waves/bgwo4p.wav,bin green with o four please
dataset/waves/pgay3a.wav,place green at y three again
dataset/waves/pwad2n.wav,place white at d two now
dataset/waves/pbio6p.wav,place blue in o six please
dataset/waves/swih7s.wav,set white in h seven soon
dataset/waves/bgia5a.wav,bin green in a five again
dataset/waves/bwim6p.wav,bin white in m six please
dataset/waves/lrbe6n.wav,lay red by e six now
dataset/waves/pbwj3s.wav,place blue with j three soon
dataset/waves/bbil2n.wav,bin blue in l two now
dataset/waves/swiu6p.wav,set white in u six please
dataset/waves/lrbz1a.wav,lay red by z one again
dataset/waves/prap5s.wav,place red at p five soon
dataset/waves/lriy2p.wav,lay red in y two please
dataset/waves/lgbs9a.wav,lay green by s nine again
dataset/waves/lgwt1s.wav,lay green with t one soon
dataset/waves/lrwz3s.wav,lay red with z three soon
dataset/waves/lwbszn.wav,lay white by s zero now
dataset/waves/pric3s.wav,place red in c three soon
dataset/waves/brif6p.wav,bin red in f six please
dataset/waves/bbwm7a.wav,bin blue with m seven again
dataset/waves/pwwy3s.wav,place white with y three soon
dataset/waves/swih9a.wav,set white in h nine again
dataset/waves/bbas1s.wav,bin blue at s one soon
dataset/waves/swiu5s.wav,set white in u five soon
dataset/waves/pgwz1a.wav,place green with z one again
dataset/waves/sgib8n.wav,set green in b eight now
dataset/waves/pbwp6n.wav,place blue with p six now
dataset/waves/swbv5a.wav,set white by v five again
dataset/waves/sbwozn.wav,set blue with o zero now
dataset/waves/bwag4n.wav,bin white at g four now
dataset/waves/lbwlzp.wav,lay blue with l zero please
dataset/waves/sgac4p.wav,set green at c four sp please
dataset/waves/lrwf2p.wav,lay red with f two please
dataset/waves/sgap3a.wav,set green at p three again
dataset/waves/lwar7s.wav,lay white at r seven soon
dataset/waves/sgbp4n.wav,set green by p four now
dataset/waves/praj1s.wav,place red at j one soon
dataset/waves/bwat2n.wav,bin white at t two now
dataset/waves/pwax6p.wav,place white at x six please
dataset/waves/bbwt1a.wav,bin blue with t one again
dataset/waves/swao5s.wav,set white at o five soon
dataset/waves/sran8n.wav,set red at n eight now
dataset/waves/prwj8n.wav,place red with j eight now
dataset/waves/pgaq7s.wav,place green at q seven soon
dataset/waves/lrie1a.wav,lay red in e one again
dataset/waves/bgan4n.wav,bin green at n four now
dataset/waves/sbag8n.wav,set blue at g eight now
dataset/waves/pwaj9a.wav,place white at j nine again
dataset/waves/lrwf1s.wav,lay red with f one soon
dataset/waves/sbia1s.wav,set blue in a one soon
dataset/waves/bgia4p.wav,bin green in a four please
dataset/waves/srih3a.wav,set red in h three again
dataset/waves/pgwy9s.wav,place green with y nine soon
dataset/waves/bbbs4n.wav,bin blue by s four now
dataset/waves/bgwu6n.wav,bin green with u six now
dataset/waves/lwaz2p.wav,lay white at z two please
dataset/waves/pwbkzn.wav,place white by k zero now
dataset/waves/prwq5a.wav,place red with q five again
dataset/waves/pbbp3s.wav,place blue by p three soon
dataset/waves/lbbrzp.wav,lay blue by r zero please
dataset/waves/bbas2p.wav,bin blue at s two please
dataset/waves/bgbu5a.wav,bin green by u five again
dataset/waves/brif7a.wav,bin red in f seven again
dataset/waves/srau3s.wav,set red at u three soon
dataset/waves/sgbc8p.wav,set green by c eight please
dataset/waves/lbiqzn.wav,lay blue in q zero now
dataset/waves/sbaa5s.wav,set blue at a five soon
dataset/waves/bgwu9a.wav,bin green with u nine again
dataset/waves/bbif1a.wav,bin blue in f one again
dataset/waves/pbwp7s.wav,place blue with p seven soon
dataset/waves/lgwt3a.wav,lay green with t three again
dataset/waves/swib3s.wav,set white in b three soon
dataset/waves/sbba8n.wav,set blue by a eight now
dataset/waves/swavzp.wav,set white at v zero please
dataset/waves/sbaa6p.wav,set blue at a six please
dataset/waves/bbaf4p.wav,bin blue at f four please
dataset/waves/pgwe8p.wav,place green with e eight please
dataset/waves/pgae1a.wav,place green at e one again
dataset/waves/pwbk3a.wav,place white by k three again
dataset/waves/sbaa4n.wav,set blue at a four now
dataset/waves/sbwb4p.wav,set blue with b four please
dataset/waves/bwigzn.wav,bin white in g zero now
dataset/waves/lbwr5a.wav,lay blue with r five again
dataset/waves/bgwo2n.wav,bin green with o two now
dataset/waves/pwad4p.wav,place white at d four please
dataset/waves/srwo8p.wav,set red with o eight please
dataset/waves/lgil4n.wav,lay green in l four now
dataset/waves/pgak3s.wav,place green at k three soon
dataset/waves/lrwl5s.wav,lay red sp with l five soon
dataset/waves/pwix3a.wav,place white in x three again
dataset/waves/swao4n.wav,set white at o four now
dataset/waves/pbav4p.wav,place blue at v four please
dataset/waves/sbbb1a.wav,set blue by b one again
dataset/waves/sbig7a.wav,set blue in g seven again
dataset/waves/bwitzp.wav,bin white in t zero please
dataset/waves/lbwr2n.wav,lay blue with r two now
dataset/waves/pwad5a.wav,place white at d five again
dataset/waves/bgig9a.wav,bin green in g nine again
dataset/waves/bgat9s.wav,bin green at t nine soon
dataset/waves/pgbe2n.wav,place green by e two now
dataset/waves/sriu1a.wav,set red in u one again
dataset/waves/bbaf3s.wav,bin blue at f three soon
dataset/waves/bgbn9s.wav,bin green by n nine soon
dataset/waves/lwie7a.wav,lay white in e seven again
dataset/waves/bginzn.wav,bin green in n zero now
dataset/waves/bwbhzp.wav,bin white by h zero please
dataset/waves/pbwx2p.wav,place blue with x two please
dataset/waves/sgai9a.wav,set green at i nine again
dataset/waves/lwws5s.wav,lay white with s five soon
dataset/waves/pgiq5a.wav,place green in q five again
dataset/waves/lbiq2p.wav,lay blue in q two please
dataset/waves/lwil1a.wav,lay white in l one again
dataset/waves/sgii4p.wav,set green in i four please
dataset/waves/pwixzn.wav,place white in x zero now
dataset/waves/srih2p.wav,set red in h two please
dataset/waves/pbivzp.wav,place blue in v zero please
dataset/waves/lbad7s.wav,lay blue at d seven soon
dataset/waves/srih1s.wav,set red in h one soon
dataset/waves/bgan7a.wav,bin green at n seven again
dataset/waves/pgby7a.wav,place green by y seven again
dataset/waves/prbp8n.wav,place red by p eight now
dataset/waves/pwip7s.wav,place white in p seven soon
dataset/waves/srbo3s.wav,set red by o three soon
dataset/waves/lrik2n.wav,lay red in k two now
dataset/waves/lriq9a.wav,lay red in q nine again
dataset/waves/lbay1a.wav,lay blue at y one again
dataset/waves/prwd6p.wav,place red with d six please
dataset/waves/brbm9a.wav,bin red by m nine again
dataset/waves/sgwx4p.wav,set green with x four please
dataset/waves/sbbn8p.wav,set blue by n eight sp please
dataset/waves/lbbk5s.wav,lay blue by k five soon
dataset/waves/lgiz2n.wav,lay green in z two now
dataset/waves/srwv2p.wav,set red with v two please
dataset/waves/swbv3s.wav,set white by v three soon
dataset/waves/lgif2p.wav,lay green in f two please
dataset/waves/bwim7a.wav,bin white in m seven again
dataset/waves/bbbm3a.wav,bin blue by m three again
dataset/waves/prii7s.wav,place red in i seven soon
dataset/waves/pbbjzp.wav,place blue by j zero please
dataset/waves/sgio7s.wav,set green in o seven soon
dataset/waves/swbczn.wav,set white by c zero now
dataset/waves/sbbh2n.wav,set blue by h two now
dataset/waves/lgaf7a.wav,lay green at f seven again
dataset/waves/pgby6p.wav,place green by y six please
dataset/waves/lbaq7a.wav,lay blue at q seven again
dataset/waves/pbib8p.wav,place blue in b eight please
dataset/waves/bris5a.wav,bin red in s five again
dataset/waves/sbin1a.wav,set blue in n one again
dataset/waves/pwip6n.wav,place white in p six now
dataset/waves/srwi2n.wav,set red with i two now
dataset/waves/pbii1s.wav,place blue in i one soon
dataset/waves/prbd1s.wav,place red by d one soon
dataset/waves/swwi8n.wav,set white with i eight now
dataset/waves/swwp2n.wav,set white with p two now
dataset/waves/swiu7a.wav,set white in u seven again
dataset/waves/bbaz5s.wav,bin blue at z five soon
dataset/waves/pgby5s.wav,place green by y five soon
dataset/waves/pbwj4p.wav,place blue with j four please
dataset/waves/pbib7s.wav,place blue in b seven soon
dataset/waves/bwwu1s.wav,bin white with u one soon
dataset/waves/pwbx8n.wav,place white by x eight now
dataset/waves/sgio8p.wav,set green in o eight please
dataset/waves/sria6n.wav,set red in a six now
dataset/waves/pgwl2p.wav,place green with l two please
dataset/waves/bgbu3s.wav,bin green by u three soon
dataset/waves/lbaq6p.wav,lay blue at q six please
dataset/waves/srit9s.wav,set red in t nine soon
dataset/waves/pgaezp.wav,place green at e zero please
dataset/waves/lbix4n.wav,lay blue in x four now
dataset/waves/pwwe2p.wav,place white with e two please
dataset/waves/pwbq4n.wav,place white by q four now
dataset/waves/bbal8p.wav,bin blue at l eight please
dataset/waves/bwbt8p.wav,bin white by t eight sp please
dataset/waves/pbwx1s.wav,place blue with x one soon
dataset/waves/briz7s.wav,bin red in z seven soon
dataset/waves/lwie5s.wav,lay white in e five soon
dataset/waves/sbwo1s.wav,set blue with o one soon
dataset/waves/lbij9a.wav,lay blue in j nine again
dataset/waves/brbt3a.wav,bin red by t three again
dataset/waves/lgwg2n.wav,lay green with g two now
dataset/waves/sbwb3s.wav,set sp blue with b three soon
dataset/waves/sbig4n.wav,set blue in g four now
dataset/waves/priv6p.wav,place red in v six please
dataset/waves/pwax4n.wav,place white at x four now
dataset/waves/bbaf5a.wav,bin blue at f five again
dataset/waves/srin7a.wav,set red in n seven again
dataset/waves/bbizzn.wav,bin blue in z zero now
dataset/waves/pgix9a.wav,place green in x nine again
dataset/waves/lgis1a.wav,lay green in s one again
dataset/waves/prap7a.wav,place red at sp p seven again
dataset/waves/bwaa1s.wav,bin white at a one soon
dataset/waves/sbbu1s.wav,set blue by u one soon
dataset/waves/sbbn7s.wav,set blue by n seven soon
dataset/waves/lbix6p.wav,lay blue in x six please
dataset/waves/lwbl9a.wav,lay white by l nine again
dataset/waves/swwj1a.wav,set white with j one again
dataset/waves/praj3a.wav,place red at j three again
dataset/waves/sria9a.wav,set red in a nine again
dataset/waves/sbwh6n.wav,set blue with h six now
dataset/waves/bwbn2n.wav,bin white by n two now
dataset/waves/bbaz7a.wav,bin blue at z seven again
dataset/waves/srihzn.wav,set red in h zero now
dataset/waves/bgwo5a.wav,bin green with o five again
dataset/waves/pgad8n.wav,place green at d eight now
dataset/waves/prac8p.wav,place red at c eight please
dataset/waves/sgbx1a.wav,set green by x one again
dataset/waves/bgbb1s.wav,bin green by b one soon
dataset/waves/bbbs7a.wav,bin blue by s seven again
dataset/waves/lrwz5a.wav,lay red sp with z five again
dataset/waves/lwar8p.wav,lay white at r eight please
dataset/waves/lwbf2n.wav,lay white by f two now
dataset/waves/sbbn9a.wav,set blue by n nine again
dataset/waves/bwwh5a.wav,bin white with h five again
dataset/waves/pbiu9s.wav,place blue in u nine soon
dataset/waves/pwbd7s.wav,place white by d seven soon
dataset/waves/pgad9s.wav,place green at d nine soon
dataset/waves/srbb5s.wav,set red by b five soon
dataset/waves/pgbr3a.wav,place green by r three again
dataset/waves/swab9a.wav,set white at b nine again
dataset/waves/swbc1s.wav,set white by c one soon
dataset/waves/bgan5s.wav,bin green at n five soon
